,year,county,state,total_deaths,avg_unemployment
156,2017,lawrence,TN,7,4.558333333333334
157,2015,marion,TN,3,5.783333333333333
158,2018,marion,TN,1,3.1416666666666666
159,2017,fentress,TN,1,4.558333333333334
160,2017,marshall,TN,6,5.183333333333334
161,2017,van buren,TN,0,4.758333333333333
162,2018,cannon,TN,3,3.1416666666666666
163,2017,monroe,TN,5,3.9916666666666667
164,2016,dickson,TN,17,4.333333333333333
165,2015,sevier,TN,18,7.675
166,2018,davidson,TN,200,2.625
167,2018,knox,TN,218,3.0083333333333333
168,2016,lauderdale,TN,5,5.008333333333333
169,2017,unicoi,TN,7,3.091666666666667
170,2018,grundy,TN,2,3.591666666666667
171,2015,carroll,TN,1,8.275
172,2018,scott,TN,1,3.75
173,2016,perry,TN,0,5.908333333333333
174,2015,houston,TN,2,6.416666666666667
175,2016,decatur,TN,3,6.858333333333333
176,2016,polk,TN,2,6.858333333333333
177,2017,pickett,TN,1,2.816666666666667
178,2017,knox,TN,196,3.375
179,2018,jefferson,TN,5,4.758333333333333
180,2015,moore,TN,0,8.858333333333333
181,2018,lauderdale,TN,2,3.7333333333333334
182,2016,maury,TN,15,5.633333333333333
183,2016,hardeman,TN,1,5.633333333333333
184,2017,wayne,TN,0,3.675
185,2016,weakley,TN,4,5.216666666666667
186,2016,crockett,TN,0,5.216666666666667
187,2016,stewart,TN,1,4.45
188,2018,marshall,TN,5,4.933333333333334
189,2015,cannon,TN,3,5.783333333333333
190,2018,lincoln,TN,7,3.7333333333333334
191,2018,weakley,TN,5,3.841666666666667
192,2017,fayette,TN,3,4.033333333333333
193,2016,carter,TN,14,5.633333333333333
194,2015,loudon,TN,9,7.675
195,2017,union,TN,4,3.9916666666666667
196,2016,williamson,TN,19,3.6
197,2015,carter,TN,10,6.441666666666666
198,2016,washington,TN,30,6.3
199,2016,coffee,TN,12,4.675
200,2018,hamblen,TN,7,4.758333333333333
201,2018,sumner,TN,33,3.1416666666666666
202,2015,wilson,TN,26,7.875
203,2016,hamblen,TN,19,6.883333333333333
204,2017,campbell,TN,5,5.216666666666667
205,2016,henderson,TN,2,6.55
206,2017,giles,TN,5,5.416666666666667
207,2015,cumberland,TN,2,7.066666666666666
208,2015,shelby,TN,135,7.933333333333334
209,2018,grainger,TN,1,5.808333333333334
210,2018,jackson,TN,2,2.625
211,2016,sullivan,TN,36,6.883333333333333
212,2018,hawkins,TN,11,3.7583333333333333
213,2016,hickman,TN,4,4.675
214,2018,rutherford,TN,68,4.166666666666667
215,2016,grainger,TN,3,6.941666666666666
216,2016,monroe,TN,6,4.941666666666666
217,2017,lake,TN,0,4.858333333333333
218,2016,cocke,TN,4,6.3
219,2015,cocke,TN,5,7.766666666666667
220,2016,claiborne,TN,2,6.191666666666666
221,2018,houston,TN,2,3.841666666666667
222,2018,decatur,TN,2,4.758333333333333
223,2016,gibson,TN,5,4.941666666666666
224,2017,humphreys,TN,4,4.666666666666667
225,2016,dyer,TN,0,6.183333333333334
226,2015,dyer,TN,1,7.175
227,2017,claiborne,TN,2,4.758333333333333
228,2018,monroe,TN,8,3.7583333333333333
229,2018,fentress,TN,1,4.166666666666667
230,2015,franklin,TN,7,5.825
231,2016,scott,TN,1,4.85
232,2017,hickman,TN,3,3.675
233,2016,cheatham,TN,13,3.9583333333333335
234,2015,hamilton,TN,37,5.783333333333333
235,2018,pickett,TN,1,2.625
236,2017,lauderdale,TN,2,4.033333333333333
237,2017,macon,TN,2,3.675
238,2016,fentress,TN,2,6.141666666666667
239,2016,unicoi,TN,5,3.9583333333333335
240,2015,unicoi,TN,3,4.833333333333333
241,2018,lawrence,TN,7,4.166666666666667
242,2015,fayette,TN,5,6.175
243,2017,scott,TN,2,3.95
244,2017,sumner,TN,28,3.566666666666667
